entity_name,aliases,entity_class,formation_jurisdiction,ohio_entity_number,status,ohio_or_property_address,parcel_or_property,epstein_role_or_nexus,wexner_role_or_nexus,date_range,verification_status,removal_or_exit_status,priority,key_evidence_refs,notes
Currant Corporation,Currant Corp.,Ohio corporation / verified merger-successor lead,Ohio,728765,dead / merged out,"Principal office: Columbus, Franklin County; Snow/SKWR agent address: 41 S. High St., Suite 2300, Columbus, OH 43215",No parcel or deed identified; search predecessor through 1989-12-22 and Architonics afterward,No Epstein role appears in the complete exact-charter history or substantive merger instrument,No Wexner role appears in the complete exact-charter history or substantive merger instrument,1988-07-15 to 1989-12-22,complete exact live Ohio filing history plus primary merger agreement confirmed; property records not searched,Merged into Architonics 1989-12-22; separate existence ceased and any property vested in the survivor,high successor-aware property follow-up,G423_1530; G774_0107; G774_0131;FINDING:14598,"The name itself does not establish a property or investment purpose. The sole shareholder named in the Architonics agreement is not identified. The party-specific MEX stub does not name the survivor; G774_0107 supplies that edge. Common counsel, dates, and templates do not establish beneficial ownership."
Margin Management Company,Margin Management Co.,Ohio corporation / management-name vehicle and verified merger-successor lead,Ohio,728767,dead / merged out,"Principal office: Columbus, Franklin County; Snow/SKWR agent address: 41 S. High St., Suite 2300, Columbus, OH 43215",No parcel or deed identified; search predecessor through 1989-12-22 and Architonics afterward,No Epstein role appears in the complete exact-charter history or substantive merger instrument,No Wexner role appears in the complete exact-charter history or substantive merger instrument,1988-07-15 to 1989-12-22,complete exact live Ohio filing history plus primary merger agreement confirmed; property records not searched,Merged into Architonics 1989-12-22; separate existence ceased and any property vested in the survivor,high successor-aware property follow-up,G423_1542; G774_0107; G774_0149;FINDING:14598,"Management is a vehicle-search signal, not proof of the asset managed or beneficial owner. The sole shareholder named in the Architonics agreement is not identified. The party-specific MEX stub does not name the survivor; G774_0107 supplies that edge. Common counsel, dates, and templates do not establish beneficial ownership."
Graeton Development Company,Graeton Development Co.,Ohio corporation / development-name property and verified merger-successor lead,Ohio,731364,dead / merged out,"Principal office: Columbus, Franklin County; Snow/SKWR agent address: 41 S. High St., Suite 2300, Columbus, OH 43215",No parcel or deed identified; search predecessor through 1989-12-22 and Architonics afterward,No Epstein role appears in the complete exact-charter history or substantive merger instrument,No Wexner role appears in the complete exact-charter history or substantive merger instrument,1988-08-24 to 1989-12-22,complete exact live Ohio filing history plus primary merger agreement confirmed; property records not searched,Merged into Architonics 1989-12-22; separate existence ceased and any property vested in the survivor,high successor-aware property follow-up,G456_0356; G774_0107; G774_0140;FINDING:14598,"Development is a property-search signal, not proof that the corporation owned land. The sole shareholder named in the Architonics agreement is not identified. The party-specific MEX stub does not name the survivor; G774_0107 supplies that edge. Common counsel, dates, and templates do not establish beneficial ownership."
Main-High Development Corp.,MAIN-HIGH DEVELOPMENT CORP.; Ohio 679415,Ohio corporation / development-name property candidate,Ohio,679415,dead / dissolved,"Principal office: Columbus, Franklin County; original agent: Dorothy Snow, 2101 Fitzroy Drive, Columbus, OH 43224; later Snow/SKWR address: 41 S. High St., Columbus",No parcel or deed identified; Franklin County recorder exact-name search pending,No Epstein role appears in the complete exact-charter history,No Wexner role appears in the complete exact-charter history,1986-06-11 to 1990-10-31,complete exact live Ohio filing history and all available images confirmed; property records not yet searched,Dissolved 1990-10-31; no corporate successor or asset recipient identified,high-priority exact-name recorder search,679415:F931_0311;679415:G985_0497;FINDING:14601,The authorizing resolution refers to shareholders in the plural but does not name them. Shared counsel and administrative templates do not establish beneficial ownership.
The Encee Holding Corp.,THE ENCEE HOLDING CORP.; Ohio 693864,Ohio corporation / property-acquisition agency vehicle,Ohio,693864,dead / dissolved,"Principal office: Dublin, Franklin County; original agent: Robert N. Wistner, 475 Metro Place North, Suite 200, Dublin, OH 43017-1374; later Snow/SKWR address: 41 S. High St., Columbus",Articles expressly state a real-or-personal property acquisition purpose as agent for unidentified others; no parcel or principal is named and recorder search is pending,No Epstein role appears in the complete exact-charter history,No Wexner role appears in the complete exact-charter history,1987-01-28 to 1988-12-28,complete exact live Ohio filing history and all available images confirmed; property records not yet searched,Dissolved 1988-12-28; no corporate successor or asset recipient identified,highest-priority recorder and unidentified-principal search,693864:G087_0559;693864:G532_1234;FINDING:14601;FINDING:14599;OH-SOS:728764:G532_0974,"The authorizing sole shareholder is unnamed. The articles do not identify the principal or beneficial owner for whom the corporation would acquire property. Shared counsel and administrative templates do not establish beneficial ownership. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"NELC, Inc.","NELC, INC.; Ohio 695020",Ohio corporation / property-acquisition agency vehicle,Ohio,695020,dead / dissolved,"Principal office: Dublin, Franklin County; original agent: Robert N. Wistner, 475 Metro Place North, Suite 200, Dublin, OH 43017-1374; later Snow/SKWR address: 41 S. High St., Columbus",Articles expressly state a real-or-personal property acquisition purpose as agent for unidentified others; no parcel or principal is named and recorder search is pending,No Epstein role appears in the complete exact-charter history,No Wexner role appears in the complete exact-charter history,1987-02-18 to 1988-12-28,complete exact live Ohio filing history and all available images confirmed; property records not yet searched,Dissolved 1988-12-28; no corporate successor or asset recipient identified,highest-priority recorder and unidentified-principal search,695020:G101_0615;695020:G532_1156;FINDING:14601;FINDING:14599;OH-SOS:728764:G532_0974,"The authorizing sole shareholder is unnamed. The articles do not identify the principal or beneficial owner for whom the corporation would acquire property. Shared counsel and administrative templates do not establish beneficial ownership. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
Great Eastern Fastening Corp. II,GREAT EASTERN FASTENING CORP. II; Ohio 705933,Ohio corporation / industrial-name vehicle,Ohio,705933,dead / dissolved,"Principal office: Dublin, Franklin County; original agent: Robert N. Wistner, 475 Metro Place North, Suite 200, Dublin, OH 43017-1374; later Snow/SKWR address: 41 S. High St., Columbus",No parcel or deed identified; Franklin County recorder exact-name search pending,No Epstein role appears in the complete exact-charter history,No Wexner role appears in the complete exact-charter history,1987-07-30 to 1988-12-28,complete exact live Ohio filing history and all available images confirmed; property records not yet searched,Dissolved 1988-12-28; no corporate successor or asset recipient identified,name-linked entity and recorder follow-up,705933:G211_1367;705933:G532_1078;FINDING:14601;FINDING:14600;OH-SOS:728764:G532_0974,"The authorizing sole shareholder is unnamed. The formal similar-name consent from Ohio 689907 establishes only a naming relationship, not merger, ownership, or control. Shared counsel and administrative templates do not establish beneficial ownership. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Petel of Columbus Co. #1, Inc.","PETEL OF COLUMBUS CO. #1, INC.; Ohio 701784",Ohio corporation / exact-name property and entity lead,Ohio,701784,dead / dissolved,"Principal office: Dublin, Franklin County; original agent: Robert N. Wistner, 475 Metro Place North, Dublin, OH 43017-1374; later Snow/SKWR address: 41 S. High St., Columbus",No parcel or deed identified; Franklin County recorder exact-name search pending,No Epstein role appears in the complete exact-charter history,No Wexner role appears in the complete exact-charter history,1987-05-29 to 1988-12-28,complete exact live Ohio filing history and all available images confirmed; property records not yet searched,Dissolved 1988-12-28; no corporate successor or asset recipient identified,exact-name recorder and entity follow-up,701784:G162_1546;701784:G532_1180;FINDING:14601;OH-SOS:728764:G532_0974,"The authorizing sole shareholder is unnamed. Shared counsel and administrative templates do not establish beneficial ownership. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
LeeAce Inc.,"LEEACE INC.; LEEACE, INC.",Ohio corporation / verified merger-successor lead,Ohio,712264,dead / merged out,"Principal office: Columbus, Franklin County; Snow/SKWR agent address: 41 S. High St., Suite 2300, Columbus, OH 43215",No parcel or deed identified; search predecessor through 1989-12-22 and Architonics afterward,No Epstein role appears in the complete exact-charter history or substantive merger instrument,No Wexner role appears in the complete exact-charter history or substantive merger instrument,1987-12-14 to 1989-12-22,complete exact live Ohio filing history plus primary merger agreement confirmed; property records not searched,Merged into Architonics 1989-12-22; separate existence ceased and any property vested in the survivor,high successor-aware property follow-up,G290_1442; G774_0107; G774_0146;FINDING:14604,Join the no-comma formation/export spelling and comma spelling in the merger agreement by charter 712264. The sole shareholder is unnamed. The party-specific MEX stub does not name the survivor; G774_0107 supplies the edge and asset-vesting rule.
"Spring Harbor Properties, Inc.",Spring Harbor Properties Inc.; Spring Harbor,Ohio corporation / harbor-properties-name and verified merger-successor lead,Ohio,714675,dead / merged out,"Principal office: Columbus, Franklin County; Snow/SKWR agent address: 41 S. High St., Suite 2300, Columbus, OH 43215",No parcel or deed identified; search predecessor through 1989-12-22 and Architonics afterward,No Epstein role appears in the complete exact-charter history or substantive merger instrument,No Wexner role appears in the complete exact-charter history or substantive merger instrument,1987-12-22 to 1989-12-22,complete exact live Ohio filing history plus primary merger agreement confirmed; property records not searched,Merged into Architonics 1989-12-22; separate existence ceased and any property vested in the survivor,high successor-aware property follow-up,G294_1112; G774_0107; G774_0170;FINDING:14604,"The exact legal name includes PROPERTIES. Harbor and Properties are search signals, not proof of landholding. The sole shareholder is unnamed; common administration does not establish beneficial ownership."
Meade Development Corporation,Meade Development Corp.; Meade,Ohio corporation / development-name and verified merger-successor lead,Ohio,719943,dead / merged out,"Principal office: Columbus, Franklin County; Snow/SKWR agent address: 41 S. High St., Suite 2300, Columbus, OH 43215",No parcel or deed identified; search predecessor through 1989-12-22 and Architonics afterward,No Epstein role appears in the complete exact-charter history or substantive merger instrument,No Wexner role appears in the complete exact-charter history or substantive merger instrument,1988-03-04 to 1989-12-22,complete exact live Ohio filing history plus primary merger agreement confirmed; property records not searched,Merged into Architonics 1989-12-22; separate existence ceased and any property vested in the survivor,high successor-aware property follow-up,G339_1089; G774_0107; G774_0152;FINDING:14604,"The exact legal name is MEADE DEVELOPMENT CORPORATION. Development is a search signal, not proof of landholding. The Len Loraditch cover is a counsel clue only; the sole shareholder is unnamed."
"Chesser Estates, Inc.",Chesser Estates Inc.; Chesser,Ohio corporation / estates-name and verified merger-successor lead,Ohio,720366,dead / merged out,"Principal office: Columbus, Franklin County; Snow/SKWR agent address: 41 S. High St., Suite 2300, Columbus, OH 43215",No parcel or deed identified; search predecessor through 1989-12-22 and Architonics afterward,No Epstein role appears in the complete exact-charter history or substantive merger instrument,No Wexner role appears in the complete exact-charter history or substantive merger instrument,1988-03-09 to 1989-12-22,complete exact live Ohio filing history plus primary merger agreement confirmed; property records not searched,Merged into Architonics 1989-12-22; separate existence ceased and any property vested in the survivor,high successor-aware property follow-up,G343_0266; G774_0107; G774_0128;FINDING:14604,"Estates is a search signal, not proof of landholding. The formation correspondence cover is administrative/counsel evidence only. The sole shareholder is unnamed."
"Palm Properties, Inc.",Palm Properties Inc.; Palm,Ohio corporation / properties-name and verified merger-successor lead,Ohio,720361,dead / merged out,"Principal office: Columbus, Franklin County; Snow/SKWR agent address: 41 S. High St., Suite 2300, Columbus, OH 43215",No parcel or deed identified; search predecessor through 1989-12-22 and Architonics afterward,No Epstein role appears in the complete exact-charter history or substantive merger instrument,No Wexner role appears in the complete exact-charter history or substantive merger instrument,1988-03-09 to 1989-12-22,complete exact live Ohio filing history plus primary merger agreement confirmed; property records not searched,Merged into Architonics 1989-12-22; separate existence ceased and any property vested in the survivor,high successor-aware property follow-up,G343_0231; G774_0107; G774_0164;FINDING:14604,"Properties is a search signal, not proof of landholding. The formation correspondence cover is administrative/counsel evidence only. The sole shareholder is unnamed."
"Timbre Properties, Inc.",Timbre Properties Inc.; Timbre,Ohio corporation / properties-name and verified merger-successor lead,Ohio,720489,dead / merged out,"Principal office: Columbus, Franklin County; Snow/SKWR agent address: 41 S. High St., Suite 2300, Columbus, OH 43215",No parcel or deed identified; search predecessor through 1989-12-22 and Architonics afterward,No Epstein role appears in the complete exact-charter history or substantive merger instrument,No Wexner role appears in the complete exact-charter history or substantive merger instrument,1988-03-09 to 1989-12-22,complete exact live Ohio filing history plus primary merger agreement confirmed; property records not searched,Merged into Architonics 1989-12-22; separate existence ceased and any property vested in the survivor,high successor-aware property follow-up,G344_0548; G774_0107; G774_0179;FINDING:14604,"Properties is a search signal, not proof of landholding. The formation correspondence cover is administrative/counsel evidence only. The sole shareholder is unnamed."
